sample.id	sample.group	chrom	chromStart	chromEnd	annotation
MS002201	kidney	chr10	38585584	38643190	noPeaks
MS026601	bcell	chr10	38585584	38643190	noPeaks
MS002201	Input	chr10	38585584	38643190	noPeaks
MS026601	Input	chr10	38585584	38643190	noPeaks
MS002201	kidney	chr10	38643191	38650766	peakStart
MS026601	bcell	chr10	38643191	38650766	peakStart
MS002201	Input	chr10	38643191	38650766	noPeaks
MS026601	Input	chr10	38643191	38650766	noPeaks
MS002201	kidney	chr10	38731066	38750574	peakEnd
MS026601	bcell	chr10	38731066	38750574	peakEnd
MS002201	Input	chr10	38731066	38750574	noPeaks
MS026601	Input	chr10	38731066	38750574	noPeaks
MS002201	kidney	chr10	38750960	38790663	noPeaks
MS026601	bcell	chr10	38750960	38790663	noPeaks
MS002201	Input	chr10	38750960	38790663	noPeaks
MS026601	Input	chr10	38750960	38790663	noPeaks
